"dept_no","dept_name","emp_no","last_name","first_name","from_date","to_date"
"d001","Marketing",110022,"Markovitch","Margareta","1985-01-01","1991-10-01"
"d001","Marketing",110039,"Minakawa","Vishwani","1991-10-01","9999-01-01"
"d002","Finance",110085,"Alpin","Ebru","1985-01-01","1989-12-17"
"d002","Finance",110114,"Legleitner","Isamu","1989-12-17","9999-01-01"
"d003","Human Resources",110183,"Ossenbruggen","Shirish","1985-01-01","1992-03-21"
"d003","Human Resources",110228,"Sigstam","Karsten","1992-03-21","9999-01-01"
"d004","Production",110303,"Wegerle","Krassimir","1985-01-01","1988-09-09"
"d004","Production",110344,"Cools","Rosine","1988-09-09","1992-08-02"
"d004","Production",110386,"Kieras","Shem","1992-08-02","1996-08-30"
"d004","Production",110420,"Ghazalie","Oscar","1996-08-30","9999-01-01"
"d005","Development",110511,"Hagimont","DeForest","1985-01-01","1992-04-25"
"d005","Development",110567,"DasSarma","Leon","1992-04-25","9999-01-01"
"d006","Quality Management",110725,"Onuegbe","Peternela","1985-01-01","1989-05-06"
"d006","Quality Management",110765,"Hofmeyr","Rutger","1989-05-06","1991-09-12"
"d006","Quality Management",110800,"Quadeer","Sanjoy","1991-09-12","1994-06-28"
"d006","Quality Management",110854,"Pesch","Dung","1994-06-28","9999-01-01"
"d007","Sales",111035,"Kaelbling","Przemyslawa","1985-01-01","1991-03-07"
"d007","Sales",111133,"Zhang","Hauke","1991-03-07","9999-01-01"
"d008","Research",111400,"Staelin","Arie","1985-01-01","1991-04-08"
"d008","Research",111534,"Kambil","Hilary","1991-04-08","9999-01-01"
"d009","Customer Service",111692,"Butterworth","Tonny","1985-01-01","1988-10-17"
"d009","Customer Service",111784,"Giarratana","Marjo","1988-10-17","1992-09-08"
"d009","Customer Service",111877,"Spinelli","Xiaobin","1992-09-08","1996-01-03"
"d009","Customer Service",111939,"Weedman","Yuchang","1996-01-03","9999-01-01"
