"emp_no","birth_date","first_name","last_name","gender","hire_date"
10282,"1953-11-27","Hercules","Benzmuller","M","1986-06-04"
11337,"1964-07-31","Hercules","Brendel","F","1994-11-20"
20780,"1954-11-17","Hercules","Baranowski","M","1991-03-09"
21870,"1960-07-06","Hercules","Barreiro","M","1988-11-18"
38161,"1964-10-12","Hercules","Baer","M","1988-02-17"
89382,"1964-09-03","Hercules","Bernardinello","F","1987-02-13"
89844,"1954-03-01","Hercules","Basagni","M","1991-10-25"
90712,"1954-08-28","Hercules","Biran","F","1994-09-07"
210097,"1954-08-27","Hercules","Bernatsky","M","1985-11-27"
236650,"1964-12-24","Hercules","Birge","F","1994-04-13"
213553,"1961-08-14","Hercules","Bail","F","1987-06-16"
241391,"1962-02-27","Hercules","Bisiani","F","1985-07-19"
279195,"1964-08-14","Hercules","Buchter","M","1991-04-16"
250175,"1959-02-13","Hercules","Bodoff","M","1985-09-14"
276181,"1957-10-17","Hercules","Biron","F","1994-12-07"
294352,"1952-07-16","Hercules","Bain","F","1987-10-17"
435221,"1957-10-17","Hercules","Bahr","M","1995-04-06"
461517,"1963-07-20","Hercules","Benantar","F","1989-06-08"
438081,"1960-10-15","Hercules","Baak","M","1991-07-31"
482148,"1954-04-05","Hercules","Berstel","F","1989-11-02"
